"Version","N","Estimator","Time_us"
"old_local",10,"Sn",6.95746
"old_local",10,"Qn",4.199
"old_local",100,"Sn",3.70378
"old_local",100,"Qn",75.03062
"old_local",1000,"Sn",87.1806
"old_local",1000,"Qn",5994.417
"old_local",10000,"Sn",748.27885
"old_local",10000,"Qn",155354.02875
"old_local",100000,"Sn",2911.7972
"old_local",100000,"Qn",14776764.1696
